"","TransactionID","Actual_class","Predicted_class","Posterior_Probability","Poster_probility2"
"1",1," <=50K"," <=50K",3.4,3.4
"2",2," <=50K"," <=50K",3.2,3.2
"3",3," >50K"," >50K",2.2,1.8
"4",4," <=50K"," <=50K",3.8,3.8
"5",5," <=50K"," <=50K",3.4,3.4
"6",6," <=50K"," <=50K",4,4
"7",7," <=50K"," <=50K",4,4
"8",8," <=50K"," <=50K",2.4,2.4
"9",9," >50K"," <=50K",3.6,3.6
"10",10," >50K"," >50K",3.8,0.2
"11",11," <=50K"," <=50K",3.8,3.8
"12",12," >50K"," <=50K",3.2,3.2
"13",13," <=50K"," <=50K",4,4
"14",14," <=50K"," <=50K",3.8,3.8
"15",15," <=50K"," <=50K",3,3
"16",16," >50K"," <=50K",2.8,2.8
"17",17," >50K"," <=50K",2.8,2.8
"18",18," <=50K"," <=50K",3.6,3.6
"19",19," <=50K"," <=50K",3.8,3.8
"20",20," <=50K"," <=50K",3.2,3.2
"21",21," <=50K"," >50K",2.2,1.8
"22",22," <=50K"," <=50K",2.8,2.8
"23",23," <=50K"," <=50K",3.6,3.6
"24",24," <=50K"," <=50K",2.8,2.8
"25",25," <=50K"," <=50K",3.6,3.6
"26",26," <=50K"," <=50K",3.8,3.8
"27",27," >50K"," <=50K",3.2,3.2
"28",28," <=50K"," <=50K",3.8,3.8
"29",29," >50K"," >50K",2.2,1.8
"30",30," <=50K"," <=50K",4,4
"31",31," >50K"," >50K",2.6,1.4
"32",32," <=50K"," >50K",2.4,1.6
"33",33," <=50K"," <=50K",4,4
"34",34," <=50K"," <=50K",2.6,2.6
"35",35," <=50K"," >50K",2.2,1.8
"36",36," <=50K"," >50K",2.4,1.6
"37",37," <=50K"," <=50K",3.8,3.8
"38",38," >50K"," >50K",2.6,1.4
"39",39," >50K"," <=50K",2.2,2.2
"40",40," <=50K"," <=50K",4,4
"41",41," >50K"," <=50K",2.8,2.8
"42",42," <=50K"," <=50K",4,4
"43",43," <=50K"," <=50K",3.8,3.8
