"","TransactionID","Actual_class","Predicted_class","Posterior_Probability"
"1",1,"Iris-setosa","Iris-setosa",1
"2",2,"Iris-setosa","Iris-setosa",1
"3",3,"Iris-setosa","Iris-setosa",1
"4",4,"Iris-setosa","Iris-setosa",1
"5",5,"Iris-setosa","Iris-setosa",1
"6",6,"Iris-setosa","Iris-setosa",1
"7",7,"Iris-setosa","Iris-setosa",1
"8",8,"Iris-setosa","Iris-setosa",1
"9",9,"Iris-setosa","Iris-setosa",1
"10",10,"Iris-setosa","Iris-setosa",1
"11",11,"Iris-setosa","Iris-setosa",1
"12",12,"Iris-setosa","Iris-setosa",1
"13",13,"Iris-setosa","Iris-setosa",1
"14",14,"Iris-setosa","Iris-setosa",1
"15",15,"Iris-setosa","Iris-setosa",1
"16",16,"Iris-setosa","Iris-setosa",1
"17",17,"Iris-setosa","Iris-setosa",1
"18",18,"Iris-setosa","Iris-setosa",1
"19",19,"Iris-setosa","Iris-setosa",1
"20",20,"Iris-setosa","Iris-setosa",1
"21",21,"Iris-versicolor","Iris-versicolor",1
"22",22,"Iris-versicolor","Iris-versicolor",0.8
"23",23,"Iris-versicolor","Iris-versicolor",1
"24",24,"Iris-versicolor","Iris-versicolor",1
"25",25,"Iris-versicolor","Iris-versicolor",1
"26",26,"Iris-versicolor","Iris-versicolor",0.8
"27",27,"Iris-versicolor","Iris-virginica",0.8
"28",28,"Iris-versicolor","Iris-virginica",1
"29",29,"Iris-versicolor","Iris-versicolor",1
"30",30,"Iris-versicolor","Iris-versicolor",1
"31",31,"Iris-versicolor","Iris-virginica",1
"32",32,"Iris-versicolor","Iris-virginica",1
"33",33,"Iris-versicolor","Iris-versicolor",1
"34",34,"Iris-versicolor","Iris-virginica",1
"35",35,"Iris-versicolor","Iris-virginica",1
"36",36,"Iris-versicolor","Iris-versicolor",0.8
"37",37,"Iris-versicolor","Iris-virginica",1
"38",38,"Iris-versicolor","Iris-virginica",0.8
"39",39,"Iris-versicolor","Iris-virginica",0.6
"40",40,"Iris-versicolor","Iris-versicolor",1
"41",41,"Iris-versicolor","Iris-virginica",0.8
"42",42,"Iris-versicolor","Iris-versicolor",1
"43",43,"Iris-versicolor","Iris-versicolor",0.6
"44",44,"Iris-versicolor","Iris-virginica",0.6
"45",45,"Iris-versicolor","Iris-versicolor",1
"46",46,"Iris-versicolor","Iris-virginica",0.8
"47",47,"Iris-versicolor","Iris-versicolor",0.8
"48",48,"Iris-versicolor","Iris-versicolor",1
"49",49,"Iris-versicolor","Iris-virginica",0.8
"50",50,"Iris-versicolor","Iris-versicolor",1
"51",51,"Iris-virginica","Iris-virginica",0.8
"52",52,"Iris-virginica","Iris-virginica",1
"53",53,"Iris-virginica","Iris-virginica",1
"54",54,"Iris-virginica","Iris-virginica",1
"55",55,"Iris-virginica","Iris-virginica",1
"56",56,"Iris-virginica","Iris-virginica",1
"57",57,"Iris-virginica","Iris-virginica",1
"58",58,"Iris-virginica","Iris-virginica",1
"59",59,"Iris-virginica","Iris-virginica",1
"60",60,"Iris-virginica","Iris-virginica",1
"61",61,"Iris-virginica","Iris-virginica",1
"62",62,"Iris-virginica","Iris-virginica",1
"63",63,"Iris-virginica","Iris-virginica",0.8
"64",64,"Iris-virginica","Iris-virginica",1
"65",65,"Iris-virginica","Iris-virginica",0.6
"66",66,"Iris-virginica","Iris-virginica",0.8
"67",67,"Iris-virginica","Iris-virginica",1
"68",68,"Iris-virginica","Iris-virginica",0.8
"69",69,"Iris-virginica","Iris-virginica",0.8
"70",70,"Iris-virginica","Iris-virginica",1
