"","ID","cluster"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,2
"6",6,2
"7",7,2
"8",8,2
"9",9,2
"10",10,2
"11",11,2
"12",12,2
"13",13,2
"14",14,2
"15",15,2
"16",16,2
"17",17,2
"18",18,2
"19",19,2
"20",20,2
"21",21,2
"22",22,2
"23",23,2
"24",24,2
"25",25,2
"26",26,2
"27",27,2
"28",28,2
"29",29,2
"30",30,2
"31",31,2
"32",32,2
"33",33,2
"34",34,2
"35",35,2
"36",36,2
"37",37,2
"38",38,2
"39",39,2
"40",40,2
"41",41,2
"42",42,2
"43",43,2
"44",44,2
"45",45,2
"46",46,2
"47",47,2
"48",48,2
"49",49,2
"50",50,2
"51",51,2
"52",52,2
"53",53,2
"54",54,2
"55",55,2
"56",56,2
"57",57,2
"58",58,2
"59",59,2
"60",60,2
"61",61,2
"62",62,2
"63",63,2
"64",64,2
"65",65,2
"66",66,2
"67",67,2
"68",68,2
"69",69,2
"70",70,2
"71",71,2
"72",72,2
"73",73,2
"74",74,2
"75",75,2
"76",76,2
"77",77,2
"78",78,2
"79",79,2
"80",80,2
"81",81,2
"82",82,2
"83",83,2
"84",84,2
"85",85,2
"86",86,2
"87",87,2
"88",88,2
"89",89,2
"90",90,1
"91",91,1
"92",92,1
"93",93,1
"94",94,1
"95",95,1
"96",96,1
"97",97,1
"98",98,1
"99",99,1
"100",100,1
"101",101,1
"102",102,1
"103",103,1
"104",104,1
"105",105,2
"106",106,1
"107",107,1
"108",108,1
"109",109,1
"110",110,1
"111",111,1
"112",112,1
"113",113,1
"114",114,1
"115",115,1
"116",116,1
"117",117,1
"118",118,1
"119",119,1
"120",120,1
"121",121,1
"122",122,1
"123",123,1
"124",124,1
"125",125,1
"126",126,1
"127",127,1
"128",128,1
"129",129,1
"130",130,1
"131",131,1
"132",132,1
"133",133,1
"134",134,1
"135",135,1
"136",136,1
"137",137,1
"138",138,1
"139",139,1
"140",140,1
"141",141,2
"142",142,1
"143",143,1
"144",144,1
"145",145,1
"146",146,1
"147",147,1
"148",148,1
"149",149,1
"150",150,1
"151",151,1
"152",152,1
"153",153,1
"154",154,1
"155",155,1
"156",156,1
"157",157,1
"158",158,1
"159",159,1
"160",160,1
"161",161,1
"162",162,1
"163",163,1
"164",164,2
"165",165,1
"166",166,1
"167",167,1
"168",168,1
"169",169,1
"170",170,1
"171",171,1
"172",172,1
"173",173,1
"174",174,2
"175",175,1
"176",176,1
"177",177,1
"178",178,1
"179",179,1
"180",180,1
"181",181,1
"182",182,1
"183",183,1
"184",184,1
"185",185,1
"186",186,1
"187",187,1
"188",188,1
"189",189,1
"190",190,3
"191",191,3
"192",192,3
"193",193,3
"194",194,3
"195",195,3
"196",196,3
"197",197,3
"198",198,3
"199",199,3
"200",200,2
"201",201,3
"202",202,3
"203",203,3
"204",204,1
"205",205,2
"206",206,3
"207",207,1
"208",208,3
"209",209,3
"210",210,3
"211",211,2
"212",212,3
"213",213,3
"214",214,1
"215",215,2
"216",216,3
"217",217,3
"218",218,3
"219",219,2
"220",220,3
"221",221,3
"222",222,3
"223",223,3
"224",224,3
"225",225,3
"226",226,3
"227",227,3
"228",228,3
"229",229,3
"230",230,3
"231",231,3
"232",232,3
"233",233,3
"234",234,2
"235",235,2
"236",236,3
"237",237,3
"238",238,3
"239",239,3
"240",240,3
"241",241,3
"242",242,3
"243",243,3
"244",244,3
"245",245,3
"246",246,2
"247",247,3
"248",248,2
"249",249,3
"250",250,3
"251",251,3
"252",252,3
"253",253,3
"254",254,3
"255",255,3
"256",256,3
"257",257,3
"258",258,3
"259",259,3
"260",260,3
"261",261,3
"262",262,3
"263",263,3
"264",264,3
"265",265,3
"266",266,3
"267",267,3
"268",268,3
"269",269,3
"270",270,3
"271",271,3
"272",272,3
"273",273,3
"274",274,3
"275",275,3
"276",276,3
"277",277,3
"278",278,3
"279",279,3
"280",280,3
"281",281,3
"282",282,3
"283",283,3
"284",284,3
"285",285,3
"286",286,3
"287",287,3
"288",288,3
"289",289,3
"290",290,3
"291",291,3
"292",292,3
"293",293,3
"294",294,3
"295",295,3
"296",296,3
"297",297,3
"298",298,3
"299",299,3
"300",300,3
"301",301,3
"302",302,3
"303",303,3
"304",304,3
"305",305,3
"306",306,3
"307",307,3
"308",308,3
"309",309,3
"310",310,3
"311",311,1
"312",312,3
"313",313,3
"314",314,1
"315",315,3
"316",316,3
"317",317,3
"318",318,3
"319",319,1
"320",320,3
"321",321,3
"322",322,3
"323",323,3
"324",324,3
"325",325,3
"326",326,3
"327",327,3
"328",328,1
"329",329,1
"330",330,3
"331",331,3
"332",332,3
"333",333,3
"334",334,3
"335",335,3
"336",336,3
"337",337,1
"338",338,3
"339",339,3
"340",340,3
"341",341,3
"342",342,3
"343",343,3
"344",344,3
"345",345,3
"346",346,3
"347",347,3
"348",348,1
"349",349,3
"350",350,1
"351",351,3
"352",352,3
"353",353,3
"354",354,1
"355",355,3
"356",356,3
"357",357,3
"358",358,3
"359",359,3
"360",360,1
"361",361,3
"362",362,3
"363",363,3
"364",364,1
"365",365,3
"366",366,3
"367",367,3
"368",368,3
"369",369,3
"370",370,1
"371",371,3
"372",372,3
"373",373,3
"374",374,3
"375",375,3
"376",376,3
"377",377,3
"378",378,3
"379",379,3
"380",380,3
"381",381,1
"382",382,3
"383",383,1
"384",384,3
"385",385,3
"386",386,3
"387",387,3
"388",388,1
"389",389,3
"390",390,3
"391",391,1
"392",392,3
"393",393,3
"394",394,3
"395",395,3
"396",396,3
"397",397,3
"398",398,1
"399",399,3
"400",400,3
