"","ID","cluster"
"1",1,3
"2",2,3
"3",3,3
"4",4,3
"5",5,3
"6",6,3
"7",7,3
"8",8,3
"9",9,3
"10",10,3
"11",11,3
"12",12,3
"13",13,3
"14",14,3
"15",15,3
"16",16,3
"17",17,3
"18",18,3
"19",19,3
"20",20,3
"21",21,3
"22",22,3
"23",23,3
"24",24,3
"25",25,3
"26",26,3
"27",27,3
"28",28,3
"29",29,3
"30",30,3
"31",31,3
"32",32,3
"33",33,3
"34",34,3
"35",35,3
"36",36,3
"37",37,3
"38",38,3
"39",39,3
"40",40,3
"41",41,3
"42",42,3
"43",43,3
"44",44,3
"45",45,3
"46",46,3
"47",47,3
"48",48,3
"49",49,3
"50",50,3
"51",51,3
"52",52,3
"53",53,3
"54",54,3
"55",55,3
"56",56,3
"57",57,3
"58",58,3
"59",59,3
"60",60,3
"61",61,3
"62",62,3
"63",63,3
"64",64,3
"65",65,3
"66",66,3
"67",67,3
"68",68,3
"69",69,3
"70",70,3
"71",71,3
"72",72,3
"73",73,3
"74",74,3
"75",75,3
"76",76,3
"77",77,3
"78",78,3
"79",79,3
"80",80,3
"81",81,3
"82",82,3
"83",83,3
"84",84,3
"85",85,3
"86",86,3
"87",87,3
"88",88,3
"89",89,3
"90",90,3
"91",91,3
"92",92,3
"93",93,3
"94",94,3
"95",95,3
"96",96,3
"97",97,3
"98",98,3
"99",99,3
"100",100,3
"101",101,3
"102",102,3
"103",103,3
"104",104,3
"105",105,3
"106",106,3
"107",107,3
"108",108,3
"109",109,3
"110",110,3
"111",111,3
"112",112,3
"113",113,3
"114",114,3
"115",115,3
"116",116,3
"117",117,3
"118",118,3
"119",119,3
"120",120,3
"121",121,3
"122",122,3
"123",123,3
"124",124,3
"125",125,3
"126",126,3
"127",127,3
"128",128,3
"129",129,3
"130",130,3
"131",131,3
"132",132,3
"133",133,3
"134",134,3
"135",135,3
"136",136,3
"137",137,3
"138",138,3
"139",139,1
"140",140,2
"141",141,1
"142",142,2
"143",143,2
"144",144,2
"145",145,1
"146",146,2
"147",147,1
"148",148,1
"149",149,1
"150",150,2
"151",151,2
"152",152,1
"153",153,2
"154",154,2
"155",155,2
"156",156,1
"157",157,1
"158",158,2
"159",159,1
"160",160,2
"161",161,1
"162",162,1
"163",163,2
"164",164,2
"165",165,2
"166",166,1
"167",167,1
"168",168,1
"169",169,2
"170",170,2
"171",171,2
"172",172,1
"173",173,2
"174",174,2
"175",175,1
"176",176,2
"177",177,1
"178",178,1
"179",179,2
"180",180,2
"181",181,1
"182",182,2
"183",183,2
"184",184,2
"185",185,1
"186",186,2
"187",187,2
"188",188,2
"189",189,2
"190",190,2
"191",191,2
"192",192,2
"193",193,1
"194",194,1
"195",195,1
"196",196,1
"197",197,1
"198",198,1
"199",199,2
"200",200,2
"201",201,1
"202",202,2
"203",203,2
"204",204,2
"205",205,1
"206",206,2
"207",207,1
"208",208,2
"209",209,1
"210",210,2
"211",211,1
"212",212,1
"213",213,2
"214",214,1
"215",215,1
"216",216,2
"217",217,1
"218",218,3
"219",219,2
"220",220,1
"221",221,2
"222",222,2
"223",223,1
"224",224,1
"225",225,1
"226",226,2
"227",227,2
"228",228,2
"229",229,1
"230",230,2
"231",231,2
"232",232,2
"233",233,1
"234",234,2
"235",235,2
"236",236,2
"237",237,2
"238",238,1
"239",239,1
"240",240,2
"241",241,1
"242",242,2
"243",243,2
"244",244,2
"245",245,1
"246",246,2
"247",247,2
"248",248,1
"249",249,1
"250",250,1
"251",251,1
"252",252,1
"253",253,1
"254",254,1
"255",255,2
"256",256,1
"257",257,1
"258",258,1
"259",259,1
"260",260,1
"261",261,2
"262",262,2
"263",263,1
"264",264,2
"265",265,1
"266",266,2
"267",267,2
"268",268,2
"269",269,2
"270",270,2
"271",271,2
"272",272,2
"273",273,1
"274",274,2
"275",275,1
"276",276,1
"277",277,2
"278",278,2
"279",279,1
"280",280,1
"281",281,2
"282",282,1
"283",283,1
"284",284,1
"285",285,1
"286",286,1
"287",287,1
"288",288,2
"289",289,2
"290",290,2
"291",291,1
"292",292,2
"293",293,1
"294",294,2
"295",295,1
"296",296,1
"297",297,2
"298",298,2
"299",299,2
"300",300,2
