"","ID","cluster"
"1",1,4
"2",2,4
"3",3,4
"4",4,4
"5",5,4
"6",6,4
"7",7,4
"8",8,4
"9",9,4
"10",10,4
"11",11,4
"12",12,4
"13",13,4
"14",14,4
"15",15,4
"16",16,4
"17",17,4
"18",18,4
"19",19,4
"20",20,4
"21",21,4
"22",22,4
"23",23,4
"24",24,4
"25",25,4
"26",26,4
"27",27,4
"28",28,4
"29",29,4
"30",30,4
"31",31,4
"32",32,4
"33",33,4
"34",34,4
"35",35,4
"36",36,4
"37",37,4
"38",38,4
"39",39,4
"40",40,4
"41",41,4
"42",42,4
"43",43,4
"44",44,4
"45",45,4
"46",46,4
"47",47,4
"48",48,4
"49",49,4
"50",50,4
"51",51,4
"52",52,4
"53",53,4
"54",54,4
"55",55,4
"56",56,4
"57",57,4
"58",58,4
"59",59,4
"60",60,4
"61",61,4
"62",62,4
"63",63,4
"64",64,4
"65",65,4
"66",66,4
"67",67,4
"68",68,4
"69",69,4
"70",70,4
"71",71,4
"72",72,4
"73",73,4
"74",74,4
"75",75,4
"76",76,4
"77",77,4
"78",78,4
"79",79,4
"80",80,4
"81",81,4
"82",82,4
"83",83,4
"84",84,4
"85",85,4
"86",86,4
"87",87,4
"88",88,4
"89",89,4
"90",90,2
"91",91,2
"92",92,2
"93",93,2
"94",94,2
"95",95,2
"96",96,2
"97",97,2
"98",98,2
"99",99,2
"100",100,2
"101",101,2
"102",102,2
"103",103,2
"104",104,2
"105",105,2
"106",106,2
"107",107,2
"108",108,2
"109",109,2
"110",110,2
"111",111,2
"112",112,2
"113",113,2
"114",114,2
"115",115,2
"116",116,2
"117",117,2
"118",118,2
"119",119,2
"120",120,2
"121",121,2
"122",122,2
"123",123,2
"124",124,2
"125",125,2
"126",126,2
"127",127,2
"128",128,2
"129",129,2
"130",130,2
"131",131,2
"132",132,2
"133",133,2
"134",134,2
"135",135,2
"136",136,2
"137",137,2
"138",138,2
"139",139,2
"140",140,2
"141",141,2
"142",142,2
"143",143,2
"144",144,2
"145",145,2
"146",146,2
"147",147,2
"148",148,2
"149",149,2
"150",150,2
"151",151,2
"152",152,2
"153",153,2
"154",154,2
"155",155,2
"156",156,2
"157",157,2
"158",158,2
"159",159,2
"160",160,2
"161",161,2
"162",162,2
"163",163,2
"164",164,4
"165",165,2
"166",166,2
"167",167,2
"168",168,2
"169",169,2
"170",170,2
"171",171,2
"172",172,2
"173",173,2
"174",174,4
"175",175,2
"176",176,2
"177",177,2
"178",178,2
"179",179,2
"180",180,2
"181",181,2
"182",182,2
"183",183,2
"184",184,2
"185",185,2
"186",186,2
"187",187,2
"188",188,2
"189",189,2
"190",190,1
"191",191,1
"192",192,1
"193",193,1
"194",194,1
"195",195,3
"196",196,1
"197",197,1
"198",198,1
"199",199,1
"200",200,4
"201",201,1
"202",202,1
"203",203,1
"204",204,3
"205",205,1
"206",206,1
"207",207,2
"208",208,1
"209",209,1
"210",210,1
"211",211,4
"212",212,1
"213",213,1
"214",214,2
"215",215,1
"216",216,1
"217",217,1
"218",218,1
"219",219,4
"220",220,1
"221",221,1
"222",222,1
"223",223,1
"224",224,1
"225",225,1
"226",226,1
"227",227,1
"228",228,1
"229",229,1
"230",230,1
"231",231,1
"232",232,1
"233",233,1
"234",234,1
"235",235,1
"236",236,1
"237",237,1
"238",238,1
"239",239,1
"240",240,1
"241",241,1
"242",242,1
"243",243,1
"244",244,1
"245",245,1
"246",246,1
"247",247,1
"248",248,4
"249",249,1
"250",250,1
"251",251,1
"252",252,1
"253",253,1
"254",254,1
"255",255,1
"256",256,1
"257",257,1
"258",258,1
"259",259,1
"260",260,1
"261",261,1
"262",262,1
"263",263,1
"264",264,1
"265",265,1
"266",266,1
"267",267,1
"268",268,1
"269",269,1
"270",270,1
"271",271,1
"272",272,1
"273",273,1
"274",274,1
"275",275,1
"276",276,1
"277",277,1
"278",278,1
"279",279,1
"280",280,1
"281",281,1
"282",282,3
"283",283,1
"284",284,1
"285",285,1
"286",286,1
"287",287,3
"288",288,3
"289",289,3
"290",290,3
"291",291,3
"292",292,3
"293",293,3
"294",294,3
"295",295,3
"296",296,3
"297",297,3
"298",298,3
"299",299,3
"300",300,3
"301",301,3
"302",302,3
"303",303,3
"304",304,3
"305",305,3
"306",306,3
"307",307,1
"308",308,3
"309",309,3
"310",310,3
"311",311,3
"312",312,3
"313",313,3
"314",314,2
"315",315,3
"316",316,3
"317",317,3
"318",318,1
"319",319,3
"320",320,3
"321",321,3
"322",322,3
"323",323,3
"324",324,3
"325",325,3
"326",326,3
"327",327,3
"328",328,2
"329",329,2
"330",330,3
"331",331,3
"332",332,3
"333",333,3
"334",334,3
"335",335,3
"336",336,3
"337",337,2
"338",338,3
"339",339,3
"340",340,2
"341",341,3
"342",342,3
"343",343,3
"344",344,3
"345",345,3
"346",346,3
"347",347,3
"348",348,3
"349",349,3
"350",350,3
"351",351,3
"352",352,3
"353",353,3
"354",354,3
"355",355,3
"356",356,3
"357",357,3
"358",358,3
"359",359,3
"360",360,2
"361",361,3
"362",362,3
"363",363,3
"364",364,3
"365",365,3
"366",366,3
"367",367,3
"368",368,3
"369",369,3
"370",370,3
"371",371,3
"372",372,3
"373",373,3
"374",374,3
"375",375,3
"376",376,3
"377",377,3
"378",378,3
"379",379,3
"380",380,3
"381",381,2
"382",382,3
"383",383,3
"384",384,3
"385",385,3
"386",386,3
"387",387,3
"388",388,2
"389",389,3
"390",390,3
"391",391,3
"392",392,3
"393",393,3
"394",394,3
"395",395,3
"396",396,3
"397",397,3
"398",398,3
"399",399,3
"400",400,3
