"","ID","cluster"
"1",1,4
"2",2,4
"3",3,4
"4",4,1
"5",5,4
"6",6,4
"7",7,4
"8",8,4
"9",9,4
"10",10,2
"11",11,4
"12",12,2
"13",13,4
"14",14,4
"15",15,2
"16",16,2
"17",17,2
"18",18,2
"19",19,4
"20",20,1
"21",21,2
"22",22,2
"23",23,4
"24",24,4
"25",25,4
"26",26,4
"27",27,4
"28",28,4
"29",29,4
"30",30,4
"31",31,4
"32",32,4
"33",33,2
"34",34,2
"35",35,4
"36",36,4
"37",37,4
"38",38,4
"39",39,4
"40",40,2
"41",41,2
"42",42,2
"43",43,4
"44",44,4
"45",45,4
"46",46,3
"47",47,2
"48",48,1
"49",49,4
"50",50,2
"51",51,4
"52",52,4
"53",53,4
"54",54,2
"55",55,2
"56",56,4
"57",57,1
"58",58,2
"59",59,4
"60",60,4
"61",61,2
"62",62,2
"63",63,4
"64",64,4
"65",65,4
"66",66,4
"67",67,4
"68",68,4
"69",69,1
"70",70,4
"71",71,4
"72",72,2
"73",73,2
"74",74,4
"75",75,2
"76",76,1
"77",77,1
"78",78,4
"79",79,4
"80",80,2
"81",81,4
"82",82,1
"83",83,2
"84",84,2
"85",85,3
"86",86,4
"87",87,2
"88",88,4
"89",89,2
"90",90,4
"91",91,2
"92",92,2
"93",93,2
"94",94,4
"95",95,4
"96",96,3
"97",97,4
"98",98,4
"99",99,4
"100",100,4
"101",101,4
"102",102,4
"103",103,4
"104",104,4
"105",105,4
"106",106,4
"107",107,1
"108",108,4
"109",109,2
"110",110,2
"111",111,4
"112",112,4
"113",113,2
"114",114,1
"115",115,4
"116",116,1
"117",117,4
"118",118,4
"119",119,4
"120",120,4
"121",121,4
"122",122,4
"123",123,4
"124",124,4
"125",125,2
"126",126,2
"127",127,4
"128",128,4
"129",129,4
"130",130,4
"131",131,2
"132",132,3
"133",133,3
"134",134,4
"135",135,4
"136",136,4
"137",137,4
"138",138,4
"139",139,2
"140",140,2
"141",141,4
"142",142,4
"143",143,3
"144",144,4
"145",145,3
"146",146,2
"147",147,4
"148",148,2
"149",149,4
"150",150,1
"151",151,3
"152",152,1
"153",153,4
"154",154,4
"155",155,2
"156",156,2
"157",157,2
"158",158,2
"159",159,4
"160",160,4
"161",161,4
"162",162,4
"163",163,4
"164",164,2
"165",165,2
"166",166,2
"167",167,4
"168",168,4
"169",169,4
"170",170,2
"171",171,4
"172",172,4
"173",173,4
"174",174,4
"175",175,4
"176",176,4
"177",177,4
"178",178,4
"179",179,4
"180",180,4
"181",181,4
"182",182,2
"183",183,4
"184",184,4
"185",185,4
"186",186,2
"187",187,2
"188",188,4
"189",189,2
"190",190,2
"191",191,2
"192",192,4
"193",193,2
"194",194,4
"195",195,4
"196",196,2
"197",197,4
"198",198,1
"199",199,3
"200",200,4
"201",201,1
"202",202,2
"203",203,4
"204",204,4
"205",205,4
"206",206,1
"207",207,1
"208",208,2
"209",209,2
"210",210,1
"211",211,1
"212",212,4
"213",213,1
"214",214,2
"215",215,4
"216",216,2
"217",217,4
"218",218,4
"219",219,4
"220",220,2
"221",221,2
"222",222,2
"223",223,4
"224",224,4
"225",225,2
"226",226,2
"227",227,2
"228",228,4
"229",229,2
"230",230,4
"231",231,3
"232",232,4
"233",233,2
"234",234,4
"235",235,4
"236",236,4
"237",237,4
"238",238,4
"239",239,4
"240",240,4
"241",241,1
"242",242,1
"243",243,2
"244",244,1
"245",245,1
"246",246,4
"247",247,4
"248",248,4
"249",249,4
"250",250,4
"251",251,1
"252",252,4
"253",253,1
"254",254,2
"255",255,4
"256",256,2
"257",257,1
"258",258,4
"259",259,1
"260",260,1
"261",261,4
"262",262,4
"263",263,4
"264",264,2
"265",265,1
"266",266,1
"267",267,4
"268",268,3
"269",269,4
"270",270,1
"271",271,4
"272",272,1
"273",273,1
"274",274,4
"275",275,2
"276",276,4
"277",277,4
"278",278,1
"279",279,1
"280",280,1
"281",281,1
"282",282,1
"283",283,4
"284",284,1
"285",285,2
"286",286,2
"287",287,1
"288",288,2
"289",289,4
"290",290,2
"291",291,4
"292",292,1
"293",293,1
"294",294,4
"295",295,1
"296",296,1
"297",297,2
"298",298,4
"299",299,4
"300",300,4
"301",301,4
"302",302,1
"303",303,4
"304",304,4
"305",305,2
"306",306,1
"307",307,4
"308",308,1
"309",309,1
"310",310,4
"311",311,1
"312",312,2
"313",313,2
"314",314,2
"315",315,2
"316",316,3
"317",317,2
"318",318,2
"319",319,1
"320",320,2
"321",321,1
"322",322,2
"323",323,4
"324",324,2
"325",325,2
"326",326,2
"327",327,1
"328",328,1
"329",329,1
"330",330,1
"331",331,1
"332",332,1
"333",333,2
"334",334,4
"335",335,4
"336",336,1
"337",337,3
"338",338,2
"339",339,1
"340",340,1
"341",341,1
"342",342,1
"343",343,1
"344",344,1
"345",345,1
"346",346,4
"347",347,3
"348",348,1
"349",349,1
"350",350,4
"351",351,1
"352",352,4
"353",353,4
"354",354,1
"355",355,3
"356",356,3
"357",357,1
"358",358,1
"359",359,1
"360",360,1
"361",361,2
"362",362,2
"363",363,1
"364",364,1
"365",365,1
"366",366,1
"367",367,1
"368",368,1
"369",369,1
"370",370,1
"371",371,4
"372",372,1
"373",373,1
"374",374,4
"375",375,1
"376",376,1
"377",377,1
"378",378,1
"379",379,1
"380",380,2
"381",381,1
"382",382,1
"383",383,1
"384",384,1
"385",385,2
"386",386,4
"387",387,2
"388",388,4
"389",389,2
"390",390,1
"391",391,3
"392",392,1
"393",393,1
"394",394,2
"395",395,1
"396",396,1
"397",397,2
"398",398,1
"399",399,1
"400",400,4
"401",401,2
"402",402,3
"403",403,1
"404",404,1
"405",405,4
"406",406,1
"407",407,1
"408",408,1
"409",409,1
"410",410,1
"411",411,2
"412",412,2
"413",413,4
"414",414,1
"415",415,2
"416",416,2
"417",417,1
"418",418,2
"419",419,1
"420",420,4
"421",421,2
"422",422,3
"423",423,4
"424",424,1
"425",425,4
"426",426,3
"427",427,3
"428",428,4
"429",429,1
"430",430,1
"431",431,1
"432",432,2
"433",433,1
"434",434,1
"435",435,1
"436",436,1
"437",437,2
"438",438,1
"439",439,1
"440",440,4
"441",441,1
"442",442,1
"443",443,1
"444",444,1
"445",445,3
"446",446,4
"447",447,1
"448",448,1
"449",449,4
"450",450,1
"451",451,1
"452",452,1
"453",453,4
"454",454,1
"455",455,3
"456",456,1
"457",457,1
"458",458,2
"459",459,1
"460",460,1
"461",461,1
"462",462,4
"463",463,1
"464",464,2
"465",465,1
"466",466,1
"467",467,1
"468",468,3
"469",469,1
"470",470,4
"471",471,1
"472",472,1
"473",473,1
"474",474,1
"475",475,1
"476",476,4
"477",477,1
"478",478,1
"479",479,4
"480",480,4
"481",481,1
"482",482,1
"483",483,1
"484",484,1
"485",485,1
"486",486,1
"487",487,1
"488",488,1
"489",489,1
"490",490,1
"491",491,2
"492",492,3
"493",493,3
"494",494,2
"495",495,3
"496",496,1
"497",497,4
"498",498,2
"499",499,1
"500",500,2
"501",501,4
"502",502,1
"503",503,1
"504",504,1
"505",505,1
"506",506,1
"507",507,1
"508",508,1
"509",509,2
"510",510,1
"511",511,1
"512",512,2
"513",513,1
"514",514,1
"515",515,1
"516",516,2
"517",517,1
"518",518,1
"519",519,1
"520",520,2
"521",521,1
"522",522,2
"523",523,2
"524",524,2
"525",525,2
"526",526,2
